LDA_num,Coherence,Descriptions,% of Reviews 
1,0.427,"class, like, really, bore, easy, fun, learn, all, hard, teacher, nice, anything, make, want ",11.60%
2,0.504,"leanr, class, teach, test, anything, teacher, nothing, all, know, never, taught, worst, give, note ",10.50%
3,0.449,"teach, teacher, explain, understand, god, know, nice, math, well, cannot, hard, really, help, person",10.40%
4,0.416,"mean, like, teacher, hate, favorite, god, think, people, all, really, always, play, yell, kid",10%
5,0.478,"student, teacher, school, child, parent, kid, like, will, all, care, person, god, worst, respect ",9.50%
6,0.480,"talk, class, time, teach, all, life, teacher, know, whole, spend, period, minute, worst, always ",9%
7,0.611,"give, grade, homework, assign, work, test, project, never, time, point, paper, all, even, hard ",8.60%
8,0.450,"calss, teacher, got, worst, school, all, never, hate, last, still, english, told, first, went ",8.30%
9,0.498,"student, teach, class, teacher, often, knowledge, grade, extreme, opinion, subject, dificult, lack, seem, poor, ",7.90%
10,0.414,"student, need, help, teach, know, teacher, care, think, learn, spanish, all, rude, speak, understand",7.70%
11,0.595,"ask, question, help, say, answer, wrong, ask_question, tell, never, will, word, even, know, something ",6.50%
,,,
,,,
,,,
,,,
